Arquivo,Data,Hora,Vel_Regulamentada (Km/h),Vel_Medida (Km/h),Vel_Considerada (Km/h),Erro
12345MFR10100-238262-2409070135100432.jpg,07/09/2024,01H35MIN10S,040,150,140,
12345MFR10100-238263-2409070135100332.jpg,07/09/2024,01H35MIN10S,040,150,140,
12345MFR10100-238264-2409070135110432.jpg,07/09/2024,01H35MIN11S,040,150,140,
12345MFR10100-238265-2409070135110332.jpg,07/09/2024,01H35MIN11S,040,150,140,
12345MFR10100-238266-2409070135120432.jpg,07/09/2024,01H35MIN12S,040,150,140,
12345MFR10100-238267-2409070135120332.jpg,07/09/2024,01H35MIN12S,040,150,140,
12345MFR10100-238268-2409070135130432.jpg,07/09/2024,01H35MIN13S,040,150,140,
12345MFR10100-238269-2409070135130332.jpg,07/09/2024,01H35MIN13S,040,150,140,
12345MFR10100-238270-2409070135140432.jpg,07/09/2024,01H35MIN14S,040,150,140,
12345MFR10100-238271-2409070135140332.jpg,07/09/2024,01H35MIN14S,040,150,140,
12345MFR10100-238272-2409070135150432.jpg,07/09/2024,01H35MIN15S,040,150,140,
12345MFR10100-238273-2409070135150332.jpg,07/09/2024,01H35MIN15S,040,150,140,
12345MFR10100-238274-2409070135160432.jpg,07/09/2024,01H35MIN16S,040,150,140,
12345MFR10100-238275-2409070135160332.jpg,07/09/2024,01H35MN16S,040,150,140,
12345MFR10100-238276-2409070135170432.jpg,07/09/2024,01H35MIN17S,040,150,140,
12345MFR10100-238277-2409070135170332.jpg,07/09/2024,01H35MIN17S,040,150,140,
12345MFR10100-238278-2409070135180432.jpg,07/09/2024,01H35MIN18S,040,150,140,
12345MFR10100-238279-2409070135180332.jpg,07/09/2024,01H35MN18S,040,150,140,
12345MFR10100-238280-2409070135190432.jpg,07/09/2024,01H35MIN19S,040,150,140,
12345MFR10100-238281-2409070135190332.jpg,07/09/2024,01H35MN19S,040,150,140,
12345MFR10100-241557-2409070205560432.jpg,07/09/2024,02H05MIN56S,040,150,140,
12345MFR10100-241558-2409070205560332.jpg,07/09/2024,02H05MIN56S,040,150,140,
12345MFR10100-241559-2409070205570432.jpg,07/09/2024,02H05MIN57S,040,150,140,
12345MFR10100-241560-2409070205570332.jpg,07/09/2024,02H05MIN57S,040,150,140,
12345MFR10100-241561-2409070205580432.jpg,07/09/2024,02H05MIN58S,040,150,140,
12345MFR10100-241562-2409070205580332.jpg,07/09/2024,02H05MIN58S,040,150,140,
12345MFR10100-241563-2409070205590432.jpg,07/09/2024,02H05MIN59S,040,150,140,
12345MFR10100-241564-2409070205590332.jpg,07/09/2024,02H05MIN59S,040,150,140,
12345MFR10100-241565-2409070206000432.jpg,07/09/2024,02H06MIN00S,040,150,140,
12345MFR10100-241566-2409070206000332.jpg,07/09/2024,02H06MIN00S,040,150,140,
12345MFR10100-241567-2409070206010432.jpg,07/09/2024,02H06MIN01S,040,150,140,
12345MFR10100-241568-2409070206010332.jpg,07/09/2024,02H06MIN01S,040,150,140,
12345MFR10100-241569-2409070206020432.jpg,07/09/2024,02H06MIN02S,040,150,140,
12345MFR10100-241570-2409070206020332.jpg,07/09/2024,02H06MIN025,040,150,140,
12345MFR10100-241571-2409070206030432.jpg,07/09/2024,02H06MIN03S,040,150,140,
12345MFR10100-241572-2409070206030332.jpg,07/09/2024,02H06MIN03S,040,150,140,
12345MFR10100-241573-2409070206040432.jpg,07/09/2024,02H06MIN04S,040,150,140,
12345MFR10100-241574-2409070206040332.jpg,07/09/2024,02H06MIN04S,040,150,140,
12345MFR10100-241575-2409070206050432.jpg,07/09/2024,02H06MIN05S,040,150,140,
12345MFR10100-241576-2409070206050332.jpg,07/09/2024,02H06MIN055,040,150,140,
12345MFR10100-250115-2409070442340432.jpg,07/09/2024,04H42MIN34S,040,150,140,
12345MFR10100-250116-2409070442340332.jpg,07/09/2024,04H42MIN34S,040,150,140,
12345MFR10100-250117-2409070442350432.jpg,07/09/2024,04H42MIN35S,040,150,140,
12345MFR10100-250118-2409070442350332.jpg,07/09/2024,04H42MIN35S,040,150,140,
12345MFR10100-250119-2409070442360432.jpg,07/09/2024,04H42MIN36S,040,150,140,
12345MFR10100-250120-2409070442360332.jpg,07/09/2024,04H42MN36S,040,150,140,
12345MFR10100-250121-2409070442370432.jpg,07/09/2024,04H42MIN37S,040,150,140,
12345MFR10100-250122-2409070442370332.jpg,07/09/2024,04H42MIN37S,040,150,140,
